State,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Mammography screening,Flu vaccinations,High school completion,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone
State,Deaths,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,# Alcohol-Impaired Driving Deaths,# Chlamydia Cases,Teen Birth Rate,# Uninsured,# Primary Care Physicians,# Dentists,# Mental Health Providers,Preventable Hospitalization Rate,% With Annual Mammogram,% Vaccinated,# Completed High School,# Some College,# Unemployed,% Children in Poverty,80th Percentile Income,# Children in Single-Parent Households,# Associations,Annual Average Violent Crimes,# Injury Deaths,Average Daily PM2.5,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,# Workers who Drive Alone
Alabama,88086.0,21,4.8,5.6,10.0,21,36,5.3,31,57.0,1255.0,31228.0,28.0,457718.0,3228.0,2429.0,5818.0,4875.0,42.0,42.0,2905059,761762,131065.0,21.0,106150.0,339392.0,5960,23307.0,21249.0,9.0,,14,85.0,2095195
Alaska,8663.0,16,3.6,3.9,6.0,17,31,7.0,22,65.0,138.0,6254.0,23.0,79260.0,714.0,744.0,4542.0,2509.0,36.0,37.0,450260,138592,27196.0,12.0,144129.0,36389.0,843,5325.0,3673.0,6.2,,21,68.0,351387
Arizona,90822.0,18,4.0,4.7,7.0,16,32,6.5,24,82.0,1112.0,43058.0,22.0,789960.0,4857.0,4681.0,11215.0,2666.0,41.0,45.0,4258137,1209223,282069.0,18.0,119971.0,428549.0,4070,29750.0,32367.0,5.8,,18,75.0,3179988
Arkansas,50906.0,24,5.0,5.6,9.0,21,38,4.8,30,56.0,706.0,17196.0,33.0,261617.0,2052.0,1452.0,7597.0,4178.0,39.0,47.0,1766362,451914,81952.0,21.0,99117.0,198144.0,3627,15352.0,12833.0,9.1,,14,82.0,1294646
California,378883.0,18,3.7,3.9,7.0,10,26,8.9,22,93.0,5185.0,236719.0,16.0,2947957.0,31852.0,34789.0,161625.0,3067.0,37.0,43.0,22378605,7515252,1908093.0,15.0,160999.0,2004812.0,23575,164253.0,108182.0,12.9,,26,72.0,18239892
Colorado,58091.0,14,3.3,4.0,9.0,14,24,8.5,19,88.0,1055.0,29821.0,16.0,453100.0,4790.0,4807.0,23242.0,2337.0,40.0,48.0,3591969,1210209,226769.0,11.0,143595.0,269358.0,4976,17769.0,23685.0,5.6,,16,73.0,2919907
Connecticut,38493.0,14,3.4,3.9,8.0,13,29,8.0,23,89.0,432.0,15290.0,9.0,201146.0,3038.0,3097.0,15622.0,3450.0,47.0,55.0,2263655,610040,148009.0,12.0,161107.0,186850.0,3286,8323.0,13494.0,7.6,,18,76.0,1777570
Delaware,13471.0,18,3.8,4.6,9.0,16,34,7.5,25,80.0,149.0,5864.0,18.0,60910.0,736.0,451.0,2918.0,4495.0,51.0,56.0,616027,149688,37901.0,15.0,132129.0,59414.0,1002,4710.0,4211.0,7.5,,15,79.0,451927
District of Columbia,8978.0,15,3.3,3.9,10.0,14,28,8.7,20,100.0,43.0,9327.0,22.0,23635.0,873.0,863.0,3973.0,4509.0,34.0,41.0,461175,221287,32895.0,22.0,198673.0,58448.0,1992,8218.0,3317.0,9.5,,21,32.0,379090
Florida,282304.0,18,4.0,4.5,9.0,15,26,7.0,26,87.0,3503.0,110794.0,18.0,2716165.0,15655.0,13322.0,39798.0,4203.0,44.0,45.0,13503528,3390310,781496.0,17.0,115410.0,1192656.0,14979,98111.0,92013.0,7.8,,19,78.0,9559753
Georgia,143179.0,19,4.1,4.8,10.0,17,33,6.3,27,70.0,1606.0,67720.0,23.0,1387604.0,7116.0,5574.0,16812.0,4295.0,42.0,46.0,6147772,1830420,330968.0,20.0,122453.0,760762.0,9428,39544.0,36347.0,8.6,,16,78.0,4852255
Hawaii,14779.0,15,3.3,3.7,8.0,13,26,7.8,24,90.0,169.0,8093.0,18.0,53289.0,1275.0,1260.0,3915.0,1982.0,42.0,44.0,921548,264204,75395.0,10.0,156110.0,67613.0,958,4049.0,4410.0,4.1,,26,68.0,698429
Idaho,19254.0,15,3.9,4.4,7.0,16,30,7.5,23,67.0,363.0,6863.0,18.0,187336.0,1178.0,1209.0,4197.0,2123.0,41.0,43.0,1045155,297195,47789.0,12.0,109976.0,75639.0,1302,3672.0,6820.0,6.8,,14,78.0,807123
Illinois,155530.0,17,3.6,4.2,8.0,15,32,8.6,25,87.0,1557.0,81012.0,18.0,907738.0,10295.0,10307.0,33822.0,4447.0,44.0,49.0,7788362,2401521,591615.0,14.0,136273.0,710917.0,12529,51759.0,44389.0,9.4,,17,72.0,6129176
Indiana,97951.0,19,4.1,4.8,8.0,20,35,6.6,31,68.0,817.0,35430.0,23.0,565717.0,4504.0,3930.0,12104.0,4322.0,44.0,52.0,3989755,1071954,236034.0,15.0,110334.0,390337.0,8074,25472.0,28315.0,9.1,,13,81.0,3158697
Iowa,38226.0,14,3.1,4.1,7.0,17,34,8.4,26,73.0,461.0,16044.0,16.0,144986.0,2343.0,2203.0,5555.0,3134.0,53.0,54.0,1946463,549438,87660.0,12.0,114538.0,150268.0,4672,8804.0,10982.0,8.2,,12,80.0,1583657
Kansas,37334.0,17,3.6,4.5,7.0,17,36,6.7,27,73.0,413.0,15286.0,22.0,254180.0,2293.0,1788.0,6245.0,3645.0,46.0,49.0,1746617,522025,88010.0,13.0,116972.0,147710.0,3934,10592.0,11410.0,7.5,,13,81.0,1436563
Kentucky,78388.0,22,5.0,5.5,9.0,25,36,6.6,32,66.0,981.0,20911.0,29.0,275158.0,2908.0,2948.0,11544.0,5028.0,41.0,46.0,2644849,712068,134249.0,19.0,104503.0,263236.0,4722,9824.0,22424.0,8.7,,14,81.0,1962584
Louisiana,77733.0,22,4.6,5.6,11.0,23,36,5.0,32,72.0,1203.0,36131.0,30.0,391933.0,3241.0,2641.0,15211.0,4947.0,43.0,44.0,2695344,724367,171408.0,24.0,108488.0,381701.0,4434,25218.0,22341.0,9.4,,16,82.0,2002968
Maine,18799.0,17,4.2,4.7,7.0,19,31,8.1,30,57.0,272.0,3989.0,13.0,104963.0,1480.0,915.0,6964.0,3070.0,47.0,45.0,915860,216926,36786.0,13.0,113135.0,48296.0,1474,1674.0,6566.0,5.9,,14,77.0,662547
Maryland,75564.0,14,3.2,4.0,9.0,13,32,8.7,23,88.0,755.0,37779.0,15.0,345782.0,5410.0,4820.0,18092.0,3568.0,42.0,51.0,3771670,1133314,214510.0,11.0,165625.0,354415.0,5412,27531.0,26687.0,7.4,,16,72.0,3047112
Massachusetts,71659.0,13,3.4,4.2,7.0,12,25,9.3,26,89.0,541.0,31622.0,8.0,195726.0,7177.0,7415.0,47586.0,4202.0,54.0,56.0,4385537,1356576,324194.0,11.0,168870.0,324892.0,6457,26038.0,24245.0,6.3,,17,68.0,3544318
Michigan,141031.0,18,4.2,5.2,9.0,20,36,7.1,25,77.0,1502.0,50104.0,17.0,564804.0,8017.0,7703.0,30043.0,4357.0,45.0,47.0,6257361,1685373,478114.0,17.0,116295.0,549830.0,9699,43960.0,40427.0,7.4,,14,81.0,4560759
Minnesota,55372.0,13,3.1,4.0,7.0,15,30,9.0,20,81.0,564.0,24470.0,12.0,268829.0,5119.0,4279.0,16482.0,3073.0,52.0,55.0,3550107,1110469,191143.0,10.0,137148.0,259037.0,7133,12950.0,19454.0,6.9,,13,76.0,2903106
Mississippi,56052.0,22,4.1,5.3,12.0,21,41,3.8,37,52.0,635.0,25303.0,32.0,369501.0,1600.0,1461.0,5466.0,5013.0,41.0,43.0,1692077,460374,101808.0,26.0,96203.0,258937.0,3738,8361.0,13808.0,9.2,,15,85.0,1230952
Missouri,92687.0,18,4.0,4.9,9.0,20,35,6.7,30,70.0,1286.0,34416.0,23.0,589071.0,4369.0,3728.0,13468.0,4155.0,45.0,47.0,3783747,1053119,185543.0,16.0,111488.0,338267.0,7068,29250.0,29326.0,8.2,,13,81.0,2897593
Montana,14174.0,14,4.1,4.6,8.0,18,28,7.6,19,67.0,443.0,4753.0,20.0,86203.0,880.0,803.0,3630.0,2629.0,44.0,43.0,690460,183720,31789.0,15.0,109060.0,46235.0,1496,3577.0,5001.0,6.0,,15,75.0,512202
Nebraska,21615.0,14,3.3,3.8,7.0,15,34,7.7,27,78.0,384.0,9291.0,18.0,150342.0,1478.0,1539.0,5674.0,3122.0,49.0,51.0,1153356,358524,43792.0,10.0,116752.0,98065.0,2694,5413.0,5920.0,6.6,,12,81.0,987536
Nevada,41546.0,20,4.2,4.7,9.0,15,31,7.4,26,90.0,435.0,17827.0,23.0,342719.0,1805.0,1960.0,7438.0,3749.0,34.0,38.0,1819821,499832,196457.0,17.0,118028.0,190778.0,1321,18991.0,12159.0,7.1,,19,77.0,1402593
New Hampshire,16248.0,14,3.9,4.8,7.0,17,32,9.1,21,74.0,195.0,3577.0,9.0,82733.0,1224.0,1055.0,4746.0,3436.0,49.0,52.0,905707,230204,50914.0,8.0,146057.0,48642.0,1410,2620.0,6006.0,5.7,,14,80.0,715564
New Jersey,100993.0,16,3.7,3.8,8.0,13,26,9.3,28,91.0,669.0,37591.0,11.0,675782.0,7583.0,7795.0,23167.0,3892.0,41.0,51.0,5568740,1618078,439906.0,13.0,170963.0,434820.0,7705,22630.0,28188.0,8.1,,21,70.0,4332443
New Mexico,31438.0,20,4.2,4.7,9.0,16,32,4.6,25,72.0,588.0,14283.0,29.0,202767.0,1593.0,1454.0,8854.0,2723.0,36.0,39.0,1224222,333683,79413.0,22.0,104611.0,143737.0,1724,13539.0,11815.0,5.1,,17,79.0,886239
New York,213529.0,16,3.6,3.9,8.0,13,27,9.0,27,88.0,1002.0,124622.0,13.0,973636.0,16482.0,16226.0,62880.0,3717.0,43.0,49.0,11905267,3689650,928167.0,17.0,149620.0,1071825.0,15802,74842.0,52179.0,6.9,,23,52.0,9219025
North Carolina,143360.0,18,3.7,4.4,9.0,19,34,6.6,26,68.0,1864.0,70257.0,21.0,1139623.0,7497.0,6198.0,29197.0,4096.0,48.0,53.0,6281557,1839005,363458.0,18.0,113094.0,627983.0,11889,35268.0,42426.0,7.5,,15,79.0,4829643
North Dakota,8506.0,13,3.1,3.7,7.0,17,36,8.9,28,64.0,221.0,3880.0,18.0,45186.0,592.0,516.0,1620.0,3553.0,53.0,50.0,463217,151385,20837.0,11.0,122487.0,33708.0,1208,1932.0,2749.0,6.4,,12,81.0,401160
Ohio,177010.0,18,4.2,5.2,9.0,22,35,6.8,28,77.0,1875.0,65393.0,21.0,741409.0,9056.0,7466.0,33813.0,4338.0,45.0,51.0,7276196,1933050,468803.0,17.0,113203.0,694699.0,12767,33954.0,55929.0,9.0,,13,82.0,5496532
Oklahoma,64342.0,21,4.6,5.0,8.0,19,37,5.8,33,65.0,881.0,23518.0,31.0,540944.0,2432.0,2487.0,16830.0,4346.0,40.0,47.0,2312648,620107,113565.0,19.0,106215.0,247819.0,4479,16696.0,18846.0,9.5,,14,82.0,1766223
Oregon,49190.0,17,3.9,4.6,7.0,15,29,8.1,24,84.0,680.0,19279.0,15.0,291036.0,3972.0,3500.0,25667.0,2378.0,43.0,44.0,2684045,810020,159446.0,12.0,126927.0,178232.0,4242,10027.0,16114.0,9.0,,19,70.0,1976256
Pennsylvania,172944.0,18,3.9,4.6,8.0,18,33,8.4,25,78.0,1447.0,61694.0,15.0,702689.0,10474.0,9091.0,30391.0,3966.0,47.0,54.0,8180031,2131526,579932.0,14.0,125069.0,679081.0,15651,40306.0,59315.0,8.3,,15,74.0,6085959
Rhode Island,12191.0,16,4.0,4.5,8.0,14,30,8.7,26,88.0,128.0,5718.0,12.0,41789.0,1066.0,691.0,4714.0,3797.0,53.0,45.0,661112,184051,50836.0,15.0,134294.0,55029.0,1063,2419.0,4334.0,6.8,,17,80.0,524196
South Carolina,82015.0,18,4.1,4.5,10.0,18,36,6.7,29,65.0,1677.0,35950.0,23.0,540230.0,3468.0,2952.0,9956.0,3797.0,48.0,49.0,3102292,822590,147189.0,19.0,109395.0,341625.0,5913,24474.0,23960.0,8.0,,14,82.0,2304196
South Dakota,10862.0,15,3.4,3.7,7.0,19,33,7.3,29,66.0,223.0,4547.0,23.0,85613.0,704.0,555.0,1796.0,3539.0,50.0,48.0,535074,150400,21512.0,14.0,110085.0,48656.0,1427,3204.0,3709.0,5.8,,12,80.0,441356
Tennessee,115955.0,20,4.5,5.1,9.0,21,37,6.2,29,62.0,1280.0,41089.0,27.0,669850.0,4876.0,3838.0,11596.0,4331.0,43.0,50.0,4102114,1108517,245532.0,18.0,108464.0,424309.0,7606,40973.0,33732.0,8.0,,14,82.0,3103430
Texas,329942.0,21,3.6,3.9,8.0,15,34,6.1,27,80.0,4739.0,129075.0,29.0,5114881.0,17804.0,17691.0,38679.0,4255.0,39.0,46.0,15565117,5106680,1067994.0,19.0,128683.0,1922773.0,21804,115228.0,85669.0,9.0,,17,79.0,13307640
Utah,26145.0,15,3.8,4.4,7.0,8,30,7.8,19,83.0,291.0,11075.0,15.0,298395.0,1846.0,2234.0,11792.0,2110.0,42.0,49.0,1736762,641647,76438.0,8.0,131506.0,134177.0,1120,6877.0,10605.0,5.7,,14,74.0,1517044
Vermont,7616.0,13,3.7,4.7,7.0,16,27,8.7,19,63.0,109.0,1718.0,10.0,27121.0,719.0,456.0,3184.0,2965.0,46.0,49.0,413332,102234,18413.0,10.0,121102.0,25106.0,820,806.0,2827.0,6.3,,17,74.0,322116
Virginia,100719.0,16,3.7,4.2,8.0,14,32,8.8,25,78.0,1243.0,48169.0,15.0,640265.0,6514.0,6169.0,17743.0,3896.0,44.0,51.0,5268348,1645171,271412.0,12.0,152568.0,444963.0,9541,17321.0,28895.0,7.3,,14,75.0,4224874
Washington,79649.0,16,3.9,4.4,7.0,13,28,8.3,19,79.0,892.0,37795.0,15.0,487573.0,6477.0,6431.0,33578.0,2533.0,40.0,47.0,4768368,1540834,329088.0,11.0,147813.0,320290.0,6443,21080.0,25947.0,8.1,,17,70.0,3629152
West Virginia,36161.0,24,5.3,6.6,9.0,26,40,6.6,30,50.0,364.0,5609.0,28.0,112089.0,1411.0,1026.0,2663.0,5472.0,41.0,42.0,1124838,243900,66134.0,20.0,97032.0,88475.0,2356,6073.0,12039.0,7.6,,11,82.0,730395
Wisconsin,69204.0,15,3.6,4.4,8.0,16,34,8.7,22,78.0,1064.0,29080.0,14.0,320719.0,4639.0,4182.0,13227.0,3260.0,49.0,53.0,3686911,1008989,192793.0,12.0,117682.0,292155.0,6639,17197.0,25889.0,7.5,,14,80.0,2938013
Wyoming,7629.0,16,3.5,4.1,9.0,18,30,7.0,24,73.0,197.0,2189.0,24.0,69044.0,414.0,404.0,2148.0,3155.0,37.0,43.0,367618,102179,17340.0,10.0,119290.0,23926.0,796,1286.0,2771.0,5.0,,12,77.0,284673
